summary,description,reporter,issue type
Add more GitLab options,"Add more GitLab options | file:/github/workspace/main.go/main.go, line: 121",,
Add more filesystem scan options,"Add more filesystem scan options | file:/github/workspace/main.go/main.go, line: 134",,
Eventually add a PreUpgrade func for signature check w,"Eventually add a PreUpgrade func for signature check w | file:/github/workspace/main.go/main.go, line: 306",,
refactor to better pass credentials,"refactor to better pass credentials | file:/github/workspace/main.go/main.go, line: 357",,
io,"io | file:/github/workspace/pkg/analyzer/analyzers/client.go/client.go, line: 48",,
JSON,"JSON | file:/github/workspace/pkg/analyzer/analyzers/client.go/client.go, line: 60",,
Log error,"Log error | file:/github/workspace/pkg/analyzer/analyzers/github/finegrained/finegrained.go/finegrained.go, line: 914",,
Log error,"Log error | file:/github/workspace/pkg/analyzer/analyzers/github/finegrained/finegrained.go/finegrained.go, line: 1243",,
Log error,"Log error | file:/github/workspace/pkg/analyzer/analyzers/github/finegrained/finegrained.go/finegrained.go, line: 1266",,
Unbound resources,"Unbound resources | file:/github/workspace/pkg/analyzer/analyzers/github/github.go/github.go, line: 62",,
How to deal with error here,"How to deal with error here | file:/github/workspace/pkg/analyzer/analyzers/mysql/mysql.go/mysql.go, line: 555",,
Add list of supported key types,"Add list of supported key types | file:/github/workspace/pkg/analyzer/cli.go/cli.go, line: 34",,
Log error,"Log error | file:/github/workspace/pkg/analyzer/cli.go/cli.go, line: 58",,
separate CLI configuration from analysis configuration,"separate CLI configuration from analysis configuration | file:/github/workspace/pkg/analyzer/config/config.go/config.go, line: 3",,
Check form focus,"Check form focus | file:/github/workspace/pkg/analyzer/tui/form.go/form.go, line: 80",,
Set Config,"Set Config | file:/github/workspace/pkg/analyzer/tui/form.go/form.go, line: 93",,
Responsive pages,"Responsive pages | file:/github/workspace/pkg/analyzer/tui/tui.go/tui.go, line: 108",,
04,"04 | file:/github/workspace/pkg/common/http.go/http.go, line: 18",,
00,"00 | file:/github/workspace/pkg/common/http.go/http.go, line: 53",,
TODO with a default logger,"TODO with a default logger | file:/github/workspace/pkg/context/context.go/context.go, line: 54",,
